DATA_YEAR,SUSPECTED_DRUG_TYPE_ID,PROPERTY_ID,EST_DRUG_QTY,DRUG_MEASURE_TYPE_ID,NIBRS_SUSPECTED_DRUG_ID
2019,1,120992525,0.2,1,12950306
2019,1,120989491,3.5,1,12954393
2019,2,120992552,39.006,1,12944224
2019,5,121004609,78,1,12954541
2019,16,121004647,1,9,12954544
2019,12,121004647,1,9,12950450
2019,8,121004647,1,9,12950449
2019,5,120996877,116,9,12950494
2019,8,121001133,15,9,12944399
2019,1,121001195,1.5,1,12944404
2019,4,121005303,1,1,12954630
2019,16,120997248,2.3,1,12954632
2019,1,120997248,0.01,1,12954631
2019,2,121005316,0.5,1,12954633
2019,18,121005316,,,12954635
2019,8,121005316,5,1,12954634
2019,8,121001347,0.2,1,12954645
2019,4,121005858,3,1,12954684
2019,17,121005864,73,9,12954686
2019,4,121005864,6,9,12954685
2019,1,121006195,4.9,1,12944471
2019,4,121006244,3,9,12954721
2019,1,120998213,,,12944472
2019,4,121006362,2,1,12954728
2019,2,121006598,,,12950634
2019,4,121006647,1,1,12954754
2019,5,122457289,1,11,13279292
2019,16,123680661,2,9,13643675
2019,5,123668797,1,9,13643684
2019,5,123691255,25.8,1,13653021
2019,16,123691261,7.4,1,13653022
2019,4,123691506,2,1,13653036
2019,16,123701644,0.5,1,13639338
2019,7,123691534,,,13653037
2019,2,123691555,1,1,13653038
2019,15,123691555,9.5,9,13653039
2019,2,123691640,1,1,13653044
2019,2,123691642,1,1,13644117
2019,8,122465751,3.5,1,13269364
2019,16,122461659,3,9,13269371
2019,1,122466014,34.5,1,13285095
2019,1,122461015,2.7,1,13279449
2019,16,122465475,14,9,13269357
2019,8,122466144,1.5,9,13279518
2019,8,122466144,1,11,13279519
2019,4,122461835,1,11,13269380
2019,1,122459416,1,1,13285112
2019,8,122459419,28,9,13285113
2019,18,122466487,,,13279551
2019,8,122466487,8.4,1,13285150
2019,16,122466487,3,9,13279550
2019,1,122469988,1,1,13279565
2019,8,122469988,1,1,13285162
2019,8,122462336,50,1,13279567
2019,5,122462738,2,9,13279605
2019,4,122466988,,,13285192
2019,4,122467035,0.125,1,13269476
2019,5,122473311,1,3,13269634
2019,16,122475480,8,9,13269638
2019,5,122475480,6,3,13269637
2019,1,122473923,1,1,13279852
2019,8,122473923,2,9,13269725
2019,2,122476775,3,9,13269753
2019,5,122476781,0.25,1,13285468
2019,8,122480976,2,1,13285473
2019,8,122477320,100,9,13269815
2019,2,122477320,95.7,1,13269813
2019,4,122477320,80,1,13269814
2019,12,122477376,3,9,13269822
2019,8,122477376,9,9,13285526
2019,4,122481542,1,9,13269838
2019,2,122481542,1,9,13279906
2019,5,123680210,,,13652556
2019,2,123680228,4,9,13652559
2019,2,123668447,0.5,1,13638725
2019,16,123675822,42,9,13643671
2019,16,123680931,1,1,13652612
2019,1,123681336,0,1,13643716
2019,1,123684873,1,9,13643731
2019,4,123684873,20,9,13643732
2019,2,123681868,1,1,13652693
2019,5,123682524,9,1,13652739
2019,2,123682535,3.4,1,13652741
2019,2,123686368,2,2,13638937
2019,16,123677705,1,1,13643809
2019,2,123683565,2.3,1,13652801
2019,1,123678514,1,1,13639030
2019,4,123678567,292,1,13652821
2019,1,123684486,1,1,13643927
