relType,AggravatedAssault,AllOtherLarceny,AnimalCruelty,Arson,AssistingorPromotingProstitution,Bribery,Burglary/Breaking & Entering,Counterfeiting/Forgery,Credit Card/Automated Teller Machine Fraud,Destruction/Damage/Vandalism of Property,Drug Equipment Violations,Drug/Narcotic Violations,Embezzlement,Extortion/Blackmail,False Pretenses/Swindle/Confidence Game,Fondling,Hacking/Computer Invasion,"Human Trafficking, Commercial Sex Acts","Human Trafficking, Involuntary Servitude",Identity Theft,Impersonation,Incest,Intimidation,Justifiable Homicide,Kidnapping/Abduction,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Negligent Manslaughter,Operating/Promoting/Assisting Gambling,Pocket-picking,Pornography/Obscene Material,Prostitution,Purchasing Prostitution,Purse-snatching,Rape,Robbery,Sexual Assault With An Object,Shoplifting,Simple Assault,Sodomy,Statutory Rape,Stolen Property Offenses,Theft From Building,Theft From Coin-Operated Machine or Device,Theft From Motor Vehicle,Theft of Motor Vehicle Parts or Accessories,Weapon Law Violations,Welfare Fraud,Wire Fraud,allCrimes
Homosexual Relationship,48,11,,,,,5,1,,27,,1,,,,,,,,,,,34,,,1,,,,1,2,,,,,4,1,,220,1,,,2,,,,,,,359
Relationship Unknown,2707,869,,14,3,,811,128,275,1504,8,241,16,27,346,103,3,3,1,20,111,,1517,,118,235,38,,1,61,8,1,,6,143,1021,2,195,4591,20,26,238,382,2,520,63,246,1,69,16694
Victim Was Acquaintance,1706,467,,13,4,,332,55,35,811,5,63,11,14,262,237,1,7,2,2,43,,1728,,83,100,18,1,,50,22,5,,5,309,337,9,5,4096,31,168,59,226,,28,2,124,,2,11478
Victim Was Babysittee,6,4,,,,,,,,,,,,,,8,,,,,,,4,,,,,,,,1,,,,4,,,,22,,5,,2,,,,,,,56
Victim Was Boyfriend/Girlfriend,2497,271,,10,1,,293,14,15,1522,1,96,6,11,58,40,,,1,,19,,1237,,220,143,5,,,48,21,,,12,210,117,5,3,7314,2,69,27,114,,22,8,75,,2,14509
Victim Was Child,463,20,,6,,,23,3,3,55,,10,1,,7,63,,,,1,7,34,167,,40,5,5,,,,6,,,,43,2,6,,1160,16,53,2,5,,,,20,,,2226
Victim Was Child of Boyfriend or Girlfriend,81,3,,,,,2,,,28,,4,,,,7,,,,,,,31,,1,,,,,1,4,,,,11,2,,,142,7,20,1,,,,,7,,,352
Victim Was Common-Law Spouse,36,2,,,,,3,,,15,,1,,,,3,,,,,,,23,,2,,,,,,,,,,6,1,,,80,,,,,,,,,,,172
Victim was Employee,51,38,,,1,,4,8,1,14,,1,2,4,18,16,,,1,,4,,54,,4,7,,,,7,,,,,3,2,,2,102,3,1,1,19,,1,,,,,369
Victim was Employer,23,66,,,,,19,17,3,18,,1,12,,34,5,,,,,5,,87,,,11,,,,,2,,,,1,3,,2,47,,,4,42,,2,,,,,404
