Relationship,vCount
Victim Was Stranger,17222
Relationship Unknown,12401
Victim Was Boyfriend/Girlfriend,11662
Victim was Otherwise Known,11217
Victim Was Acquaintance,9627
Victim Was Spouse,3256
Victim Was Parent,3165
Victim Was Friend,2398
Victim Was Neighbor,2350
Victim Was Sibling,2099
Victim Was Child,1939
Victim Was Offender,1891
Victim Was Other Family Member,1559
Victim was Ex-Spouse,1172
Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend),424
Victim Was In-law,375
Victim was Employer,341
Victim was Employee,314
Victim Was Stepchild,310
Homosexual Relationship,301
Victim Was Grandparent,281
Victim Was Stepparent,260
Victim Was Child of Boyfriend or Girlfriend,235
Victim Was Grandchild,131
Victim Was Common-Law Spouse,119
Victim Was Stepsibling,69
Victim Was Babysittee,50
